application_for,open_date,poll_result
Boulevard Cafe,2015-12-07,Response Rate Not Met
Permit Parking,2015-12-07,Opposed
Traffic Calming,2016-01-18,Opposed
Appeal - Front Yard Parking,2016-01-07,In Favour
Front Yard Parking,2016-01-07,In Favour
Front Yard Parking,2016-01-11,In Favour
Front Yard Parking,2016-01-11,In Favour
Appeal - Front Yard Parking,2016-01-12,In Favour
Appeal - Front Yard Parking,2016-01-12,In Favour
Appeal - Front Yard Parking,2016-01-12,In Favour
Appeal - Front Yard Parking,2016-01-13,In Favour
Permit Parking,2016-01-13,Response Rate Not Met
Permit Parking,2016-01-18,Opposed
Permit Parking,2016-01-20,Opposed
Front Yard Parking,2016-01-19,In Favour
Front Yard Parking,2016-01-19,In Favour
Appeal - Front Yard Parking,2016-01-20,In Favour
Traffic Calming,2016-01-21,In Favour
Appeal - Front Yard Parking,2016-01-25,In Favour
Appeal - Front Yard Parking,2016-01-25,In Favour
Appeal - Front Yard Parking,2016-01-19,In Favour
Appeal - Front Yard Parking,2016-01-19,In Favour
Front Yard Parking,2016-01-18,In Favour
Appeal - Front Yard Parking,2016-01-21,In Favour
Appeal - Front Yard Parking,2016-01-21,In Favour
Permit Parking,2016-01-28,Opposed
Front Yard Parking,2016-01-28,In Favour
Front Yard Parking,2016-02-01,In Favour
Front Yard Parking,2016-01-28,In Favour
Appeal - Front Yard Parking,2016-01-28,In Favour
Traffic Calming,2016-02-08,Response Rate Not Met
Boulevard Cafe,2016-02-11,In Favour
Appeal - Front Yard Parking,2016-02-11,In Favour
Appeal - Front Yard Parking,2016-02-11,In Favour
Appeal - Front Yard Parking,2016-02-16,In Favour
Appeal - Front Yard Parking,2016-02-16,In Favour
Appeal - Front Yard Parking,2016-02-17,In Favour
Appeal - Front Yard Parking,2016-02-16,In Favour
Front Yard Parking,2016-02-22,In Favour
Permit Parking,2016-02-17,Opposed
Permit Parking,2016-02-17,In Favour
Traffic Calming,2016-02-18,Response Rate Not Met
Appeal - Front Yard Parking,2016-02-22,In Favour
Permit Parking,2016-03-07,Response Rate Not Met
Traffic Calming,2016-02-29,Response Rate Not Met
Traffic Calming,2016-03-03,Response Rate Not Met
Front Yard Parking,2016-02-22,In Favour
Traffic Calming,2016-03-02,Response Rate Not Met
